date_time,cost
11/16/21,80.37
11/17/21,80.44
11/18/21,78.12
11/19/21,79.62
11/20/21,8.64
11/21/21,9.1
11/22/21,80.59
11/23/21,80.9
11/24/21,80.74
11/25/21,180.16
11/26/21,220.21
11/27/21,150.45
11/28/21,140.44
11/29/21,180.15
11/30/21,80.56
12/1/21,80.27
12/2/21,80.65
12/3/21,80.24
12/4/21,9.76
12/5/21,9.74
12/6/21,81.83
12/7/21,81.95
12/8/21,81.95
12/9/21,81.86
12/10/21,86.25
12/11/21,9.75
12/12/21,9.27
12/13/21,81.98
12/14/21,81.97
12/15/21,81.2
12/16/21,81.25
12/17/21,81.06
12/18/21,9.78
12/19/21,9.48
12/20/21,82.13
12/21/21,83.45
12/22/21,82.76
12/23/21,82.43
12/24/21,83.46
12/25/21,9.98
12/26/21,9.92
12/27/21,83.34
12/28/21,83.98
12/29/21,82.01
12/30/21,80.32
12/31/21,85.13
